distance;prr;successes;opportunities
50,000000;0,988418;57263;57934
100,000000;0,956809;61187;63949
150,000000;0,934938;56258;60173
200,000000;0,894878;52728;58922
250,000000;0,882227;48144;54571
300,000000;0,827155;48200;58272
350,000000;0,745426;42906;57559
400,000000;0,621512;36612;58908
450,000000;0,428554;24644;57505
500,000000;0,247917;15531;62646
550,000000;0,099839;6141;61509
600,000000;0,032736;1828;55841
650,000000;0,008548;473;55336
700,000000;0,001519;86;56626
750,000000;0,000315;18;57199
800,000000;0,000018;1;56245
850,000000;0,000017;1;57817
900,000000;0,000000;0;60470
950,000000;0,000000;0;57269
1000,000000;0,000000;0;61361
1050,000000;0,000000;0;45
1100,000000;0,000000;0;0
1150,000000;0,000000;0;0
1200,000000;0,000000;0;0
1250,000000;0,000000;0;0
1300,000000;0,000000;0;0
1350,000000;0,000000;0;0
1400,000000;0,000000;0;0
1450,000000;0,000000;0;0
1500,000000;0,000000;0;0
1550,000000;0,000000;0;0
