distance;prr;successes;opportunities
50,000000;0,986890;198882;201524
100,000000;0,958635;201713;210417
150,000000;0,926376;197055;212716
200,000000;0,892030;184313;206622
250,000000;0,841508;170720;202874
300,000000;0,745262;148802;199664
350,000000;0,569909;116120;203752
400,000000;0,348814;71758;205720
450,000000;0,184207;37843;205437
500,000000;0,099780;21026;210723
550,000000;0,027825;6068;218079
600,000000;0,005826;1222;209766
650,000000;0,000813;173;212676
700,000000;0,000146;31;211669
750,000000;0,000033;7;209794
800,000000;0,000000;0;217590
850,000000;0,000000;0;209379
900,000000;0,000000;0;209720
950,000000;0,000000;0;212923
1000,000000;0,000000;0;206252
1050,000000;0,000000;0;198
1100,000000;0,000000;0;0
1150,000000;0,000000;0;0
1200,000000;0,000000;0;0
1250,000000;0,000000;0;0
1300,000000;0,000000;0;0
1350,000000;0,000000;0;0
1400,000000;0,000000;0;0
1450,000000;0,000000;0;0
1500,000000;0,000000;0;0
1550,000000;0,000000;0;0
