distance;prr;successes;opportunities
50,000000;0,988625;6953;7033
100,000000;0,960392;10184;10604
150,000000;0,930464;10076;10829
200,000000;0,863725;8005;9268
250,000000;0,843368;8965;10630
300,000000;0,748959;6656;8887
350,000000;0,566565;5392;9517
400,000000;0,423464;4169;9845
450,000000;0,259242;3422;13200
500,000000;0,138401;1868;13497
550,000000;0,056298;678;12043
600,000000;0,017262;201;11644
650,000000;0,004026;45;11177
700,000000;0,001019;13;12758
750,000000;0,000102;1;9795
800,000000;0,000000;0;10375
850,000000;0,000000;0;10298
900,000000;0,000000;0;10677
950,000000;0,000000;0;10863
1000,000000;0,000000;0;11767
1050,000000;0,000000;0;14
1100,000000;0,000000;0;0
1150,000000;0,000000;0;0
1200,000000;0,000000;0;0
1250,000000;0,000000;0;0
1300,000000;0,000000;0;0
1350,000000;0,000000;0;0
1400,000000;0,000000;0;0
1450,000000;0,000000;0;0
1500,000000;0,000000;0;0
1550,000000;0,000000;0;0
