distance;prr;successes;opportunities
50,000000;0,981209;16814;17136
100,000000;0,965913;14735;15255
150,000000;0,929736;13973;15029
200,000000;0,919132;13173;14332
250,000000;0,893009;11343;12702
300,000000;0,831736;11631;13984
350,000000;0,855895;15876;18549
400,000000;0,798860;12471;15611
450,000000;0,755135;10220;13534
500,000000;0,513311;8503;16565
550,000000;0,373351;5548;14860
600,000000;0,270783;3508;12955
650,000000;0,172825;2259;13071
700,000000;0,097702;1297;13275
750,000000;0,043091;518;12021
800,000000;0,016339;210;12853
850,000000;0,005995;87;14513
900,000000;0,002363;29;12271
950,000000;0,000572;7;12235
1000,000000;0,000000;0;12561
1050,000000;0,000000;0;8
1100,000000;0,000000;0;0
1150,000000;0,000000;0;0
1200,000000;0,000000;0;0
1250,000000;0,000000;0;0
1300,000000;0,000000;0;0
1350,000000;0,000000;0;0
1400,000000;0,000000;0;0
1450,000000;0,000000;0;0
1500,000000;0,000000;0;0
1550,000000;0,000000;0;0
