distance;prr;successes;opportunities
50,000000;0,984177;170235;172972
100,000000;0,959742;178820;186321
150,000000;0,927718;165260;178136
200,000000;0,899816;156253;173650
250,000000;0,866295;151709;175124
300,000000;0,827220;147165;177903
350,000000;0,798609;144418;180837
400,000000;0,766199;148523;193844
450,000000;0,721197;134403;186361
500,000000;0,635972;117204;184291
550,000000;0,534818;99166;185420
600,000000;0,405263;73043;180236
650,000000;0,255090;44941;176177
700,000000;0,139308;24999;179451
750,000000;0,059657;11693;196003
800,000000;0,023545;4582;194604
850,000000;0,007658;1450;189334
900,000000;0,002280;402;176347
950,000000;0,000525;94;178950
1000,000000;0,000118;20;169495
1050,000000;0,000000;0;154
1100,000000;0,000000;0;0
1150,000000;0,000000;0;0
1200,000000;0,000000;0;0
1250,000000;0,000000;0;0
1300,000000;0,000000;0;0
1350,000000;0,000000;0;0
1400,000000;0,000000;0;0
1450,000000;0,000000;0;0
1500,000000;0,000000;0;0
1550,000000;0,000000;0;0
