distance;prr;successes;opportunities
50,000000;0,980061;2556;2608
100,000000;0,945104;5096;5392
150,000000;0,923135;3639;3942
200,000000;0,861169;4125;4790
250,000000;0,677374;2868;4234
300,000000;0,337069;1233;3658
350,000000;0,104745;234;2234
400,000000;0,029412;64;2176
450,000000;0,009239;21;2273
500,000000;0,004875;14;2872
550,000000;0,001207;4;3313
600,000000;0,000000;0;2699
650,000000;0,000000;0;2907
700,000000;0,000000;0;3301
750,000000;0,000000;0;3894
800,000000;0,000000;0;2840
850,000000;0,000000;0;4409
900,000000;0,000000;0;4194
950,000000;0,000000;0;2250
1000,000000;0,000000;0;2041
1050,000000;0,000000;0;4
1100,000000;0,000000;0;0
1150,000000;0,000000;0;0
1200,000000;0,000000;0;0
1250,000000;0,000000;0;0
1300,000000;0,000000;0;0
1350,000000;0,000000;0;0
1400,000000;0,000000;0;0
1450,000000;0,000000;0;0
1500,000000;0,000000;0;0
1550,000000;0,000000;0;0
