distance;prr;successes;opportunities
50,000000;0,983655;23290;23677
100,000000;0,948365;20240;21342
150,000000;0,918760;19791;21541
200,000000;0,866936;19337;22305
250,000000;0,824748;18189;22054
300,000000;0,734739;16935;23049
350,000000;0,564307;11557;20480
400,000000;0,419204;8867;21152
450,000000;0,268814;6644;24716
500,000000;0,134687;3059;22712
550,000000;0,053459;1228;22971
600,000000;0,017622;393;22302
650,000000;0,004443;119;26784
700,000000;0,000636;16;25138
750,000000;0,000087;2;22927
800,000000;0,000000;0;21697
850,000000;0,000000;0;20540
900,000000;0,000000;0;20739
950,000000;0,000000;0;20434
1000,000000;0,000000;0;22023
1050,000000;0,000000;0;7
1100,000000;0,000000;0;0
1150,000000;0,000000;0;0
1200,000000;0,000000;0;0
1250,000000;0,000000;0;0
1300,000000;0,000000;0;0
1350,000000;0,000000;0;0
1400,000000;0,000000;0;0
1450,000000;0,000000;0;0
1500,000000;0,000000;0;0
1550,000000;0,000000;0;0
