distance;prr;successes;opportunities
50,000000;0,986703;190636;193205
100,000000;0,959175;198623;207077
150,000000;0,928678;197814;213006
200,000000;0,900294;185421;205956
250,000000;0,852495;177209;207871
300,000000;0,812106;168075;206962
350,000000;0,765637;170721;222979
400,000000;0,738390;152030;205894
450,000000;0,693535;144944;208993
500,000000;0,576367;125304;217403
550,000000;0,472097;96499;204405
600,000000;0,348483;72073;206819
650,000000;0,228058;49537;217212
700,000000;0,127886;27247;213057
750,000000;0,061336;13314;217066
800,000000;0,026246;5466;208261
850,000000;0,008804;1804;204904
900,000000;0,002642;538;203609
950,000000;0,000935;187;199950
1000,000000;0,000254;54;212784
1050,000000;0,000000;0;200
1100,000000;0,000000;0;0
1150,000000;0,000000;0;0
1200,000000;0,000000;0;0
1250,000000;0,000000;0;0
1300,000000;0,000000;0;0
1350,000000;0,000000;0;0
1400,000000;0,000000;0;0
1450,000000;0,000000;0;0
1500,000000;0,000000;0;0
1550,000000;0,000000;0;0
