distance;prr;successes;opportunities
50,000000;0,984102;79606;80892
100,000000;0,956913;89436;93463
150,000000;0,925025;84600;91457
200,000000;0,892044;78532;88036
250,000000;0,869061;81730;94044
300,000000;0,793886;75470;95064
350,000000;0,671005;63008;93901
400,000000;0,459719;41896;91134
450,000000;0,254844;24097;94556
500,000000;0,142043;12885;90712
550,000000;0,040555;3888;95869
600,000000;0,009355;835;89255
650,000000;0,001422;131;92153
700,000000;0,000145;13;89783
750,000000;0,000032;3;92595
800,000000;0,000011;1;88875
850,000000;0,000000;0;90964
900,000000;0,000000;0;92713
950,000000;0,000000;0;96880
1000,000000;0,000000;0;98371
1050,000000;0,000000;0;83
1100,000000;0,000000;0;0
1150,000000;0,000000;0;0
1200,000000;0,000000;0;0
1250,000000;0,000000;0;0
1300,000000;0,000000;0;0
1350,000000;0,000000;0;0
1400,000000;0,000000;0;0
1450,000000;0,000000;0;0
1500,000000;0,000000;0;0
1550,000000;0,000000;0;0
