distance;prr;successes;opportunities
50,000000;0,982078;40441;41179
100,000000;0,956501;39272;41058
150,000000;0,931310;37583;40355
200,000000;0,912503;40454;44333
250,000000;0,884352;41500;46927
300,000000;0,853785;38872;45529
350,000000;0,814301;34357;42192
400,000000;0,774646;35423;45728
450,000000;0,767440;37283;48581
500,000000;0,656671;27242;41485
550,000000;0,552850;24023;43453
600,000000;0,417780;18394;44028
650,000000;0,273131;12614;46183
700,000000;0,155418;6922;44538
750,000000;0,078658;3536;44954
800,000000;0,030749;1484;48262
850,000000;0,012246;599;48914
900,000000;0,003635;179;49240
950,000000;0,001362;59;43329
1000,000000;0,000191;8;41907
1050,000000;0,000000;0;40
1100,000000;0,000000;0;0
1150,000000;0,000000;0;0
1200,000000;0,000000;0;0
1250,000000;0,000000;0;0
1300,000000;0,000000;0;0
1350,000000;0,000000;0;0
1400,000000;0,000000;0;0
1450,000000;0,000000;0;0
1500,000000;0,000000;0;0
1550,000000;0,000000;0;0
