distance;prr;successes;opportunities
50,000000;0,997391;4587;4599
100,000000;0,975554;3831;3927
150,000000;0,965094;2986;3094
200,000000;0,913718;2531;2770
250,000000;0,867941;2044;2355
300,000000;0,848312;2086;2459
350,000000;0,869699;2256;2594
400,000000;0,857458;2334;2722
450,000000;0,859065;2810;3271
500,000000;0,761255;2621;3443
550,000000;0,539060;1870;3469
600,000000;0,458580;1550;3380
650,000000;0,327807;1226;3740
700,000000;0,157801;534;3384
750,000000;0,073822;249;3373
800,000000;0,048110;168;3492
850,000000;0,008727;31;3552
900,000000;0,002952;10;3387
950,000000;0,001991;7;3515
1000,000000;0,000280;1;3571
1050,000000;0,000000;0;4
1100,000000;0,000000;0;0
1150,000000;0,000000;0;0
1200,000000;0,000000;0;0
1250,000000;0,000000;0;0
1300,000000;0,000000;0;0
1350,000000;0,000000;0;0
1400,000000;0,000000;0;0
1450,000000;0,000000;0;0
1500,000000;0,000000;0;0
1550,000000;0,000000;0;0
