distance;prr;successes;opportunities
50,000000;0,992966;15669;15780
100,000000;0,967659;18162;18769
150,000000;0,961865;19623;20401
200,000000;0,927133;13907;15000
250,000000;0,902136;12122;13437
300,000000;0,859629;12499;14540
350,000000;0,844641;11553;13678
400,000000;0,810700;9683;11944
450,000000;0,788650;9269;11753
500,000000;0,685118;7191;10496
550,000000;0,661381;7174;10847
600,000000;0,524581;5954;11350
650,000000;0,402753;5384;13368
700,000000;0,233615;2955;12649
750,000000;0,119170;1722;14450
800,000000;0,055826;827;14814
850,000000;0,021389;296;13839
900,000000;0,007589;102;13440
950,000000;0,002118;34;16052
1000,000000;0,000425;7;16487
1050,000000;0,000000;0;16
1100,000000;0,000000;0;0
1150,000000;0,000000;0;0
1200,000000;0,000000;0;0
1250,000000;0,000000;0;0
1300,000000;0,000000;0;0
1350,000000;0,000000;0;0
1400,000000;0,000000;0;0
1450,000000;0,000000;0;0
1500,000000;0,000000;0;0
1550,000000;0,000000;0;0
