distance;prr;successes;opportunities
50,000000;0,988063;78056;78999
100,000000;0,966703;84339;87244
150,000000;0,934011;84924;90924
200,000000;0,905267;80519;88945
250,000000;0,875047;79855;91258
300,000000;0,836837;75471;90186
350,000000;0,809649;73891;91263
400,000000;0,761297;72576;95332
450,000000;0,736432;73789;100198
500,000000;0,609431;55081;90381
550,000000;0,461151;40235;87249
600,000000;0,301882;27170;90002
650,000000;0,157916;13854;87730
700,000000;0,069503;6583;94715
750,000000;0,023000;2057;89436
800,000000;0,007395;741;100202
850,000000;0,001994;207;103833
900,000000;0,000352;32;90807
950,000000;0,000124;12;96633
1000,000000;0,000042;4;94462
1050,000000;0,000000;0;104
1100,000000;0,000000;0;0
1150,000000;0,000000;0;0
1200,000000;0,000000;0;0
1250,000000;0,000000;0;0
1300,000000;0,000000;0;0
1350,000000;0,000000;0;0
1400,000000;0,000000;0;0
1450,000000;0,000000;0;0
1500,000000;0,000000;0;0
1550,000000;0,000000;0;0
