distance;prr;successes;opportunities
50,000000;0,985332;4232;4295
100,000000;0,962052;3600;3742
150,000000;0,938342;2785;2968
200,000000;0,900808;2452;2722
250,000000;0,893018;2187;2449
300,000000;0,884227;2276;2574
350,000000;0,820786;2235;2723
400,000000;0,573490;2146;3742
450,000000;0,501626;1851;3690
500,000000;0,337790;859;2543
550,000000;0,096024;285;2968
600,000000;0,032289;102;3159
650,000000;0,005489;18;3279
700,000000;0,000907;3;3309
750,000000;0,000000;0;2783
800,000000;0,000000;0;2886
850,000000;0,000000;0;3099
900,000000;0,000000;0;3422
950,000000;0,000000;0;3456
1000,000000;0,000000;0;6231
1050,000000;0,000000;0;5
1100,000000;0,000000;0;0
1150,000000;0,000000;0;0
1200,000000;0,000000;0;0
1250,000000;0,000000;0;0
1300,000000;0,000000;0;0
1350,000000;0,000000;0;0
1400,000000;0,000000;0;0
1450,000000;0,000000;0;0
1500,000000;0,000000;0;0
1550,000000;0,000000;0;0
