distance;prr;successes;opportunities
50,000000;0,981526;4888;4980
100,000000;0,949684;5115;5386
150,000000;0,918284;4922;5360
200,000000;0,906333;4780;5274
250,000000;0,858156;3751;4371
300,000000;0,868568;4203;4839
350,000000;0,816604;4751;5818
400,000000;0,712133;5717;8028
450,000000;0,707088;5038;7125
500,000000;0,519428;3342;6434
550,000000;0,408172;1858;4552
600,000000;0,247258;1375;5561
650,000000;0,156579;833;5320
700,000000;0,076412;322;4214
750,000000;0,035662;145;4066
800,000000;0,020154;94;4664
850,000000;0,006456;38;5886
900,000000;0,001293;5;3867
950,000000;0,000612;3;4904
1000,000000;0,000358;2;5580
1050,000000;0,000000;0;7
1100,000000;0,000000;0;0
1150,000000;0,000000;0;0
1200,000000;0,000000;0;0
1250,000000;0,000000;0;0
1300,000000;0,000000;0;0
1350,000000;0,000000;0;0
1400,000000;0,000000;0;0
1450,000000;0,000000;0;0
1500,000000;0,000000;0;0
1550,000000;0,000000;0;0
