distance;prr;successes;opportunities
50,000000;0,987542;18629;18864
100,000000;0,956685;18288;19116
150,000000;0,936389;20697;22103
200,000000;0,911407;19104;20961
250,000000;0,884929;21133;23881
300,000000;0,843753;20272;24026
350,000000;0,822242;16347;19881
400,000000;0,799243;21128;26435
450,000000;0,769823;17408;22613
500,000000;0,677449;14137;20868
550,000000;0,612512;15039;24553
600,000000;0,489784;11842;24178
650,000000;0,356739;7453;20892
700,000000;0,216666;5026;23197
750,000000;0,103704;2279;21976
800,000000;0,047557;907;19072
850,000000;0,015716;325;20679
900,000000;0,005609;142;25315
950,000000;0,002093;48;22933
1000,000000;0,000630;17;26975
1050,000000;0,000000;0;15
1100,000000;0,000000;0;0
1150,000000;0,000000;0;0
1200,000000;0,000000;0;0
1250,000000;0,000000;0;0
1300,000000;0,000000;0;0
1350,000000;0,000000;0;0
1400,000000;0,000000;0;0
1450,000000;0,000000;0;0
1500,000000;0,000000;0;0
1550,000000;0,000000;0;0
