distance;prr;successes;opportunities
50,000000;0,988069;27413;27744
100,000000;0,962203;26857;27912
150,000000;0,941286;28232;29993
200,000000;0,910454;25876;28421
250,000000;0,869277;28481;32764
300,000000;0,825342;30073;36437
350,000000;0,813837;27961;34357
400,000000;0,742726;23306;31379
450,000000;0,606791;18407;30335
500,000000;0,380384;11860;31179
550,000000;0,175629;6274;35723
600,000000;0,059854;2037;34033
650,000000;0,015598;555;35582
700,000000;0,003483;108;31008
750,000000;0,000732;24;32775
800,000000;0,000031;1;32355
850,000000;0,000000;0;36744
900,000000;0,000000;0;36223
950,000000;0,000000;0;33450
1000,000000;0,000000;0;32718
1050,000000;0,000000;0;21
1100,000000;0,000000;0;0
1150,000000;0,000000;0;0
1200,000000;0,000000;0;0
1250,000000;0,000000;0;0
1300,000000;0,000000;0;0
1350,000000;0,000000;0;0
1400,000000;0,000000;0;0
1450,000000;0,000000;0;0
1500,000000;0,000000;0;0
1550,000000;0,000000;0;0
