distance;prr;successes;opportunities
50,000000;0,998377;1230;1232
100,000000;0,973307;1969;2023
150,000000;0,941238;2691;2859
200,000000;0,953995;1182;1239
250,000000;0,871994;1124;1289
300,000000;0,776571;1001;1289
350,000000;0,735023;957;1302
400,000000;0,516031;676;1310
450,000000;0,255352;334;1308
500,000000;0,128326;164;1278
550,000000;0,039844;51;1280
600,000000;0,013230;17;1285
650,000000;0,001559;2;1283
700,000000;0,000000;0;1301
750,000000;0,000000;0;1488
800,000000;0,000000;0;1742
850,000000;0,000000;0;1835
900,000000;0,000000;0;2574
950,000000;0,000000;0;4660
1000,000000;0,000000;0;2842
1050,000000;0,000000;0;1
1100,000000;0,000000;0;0
1150,000000;0,000000;0;0
1200,000000;0,000000;0;0
1250,000000;0,000000;0;0
1300,000000;0,000000;0;0
1350,000000;0,000000;0;0
1400,000000;0,000000;0;0
1450,000000;0,000000;0;0
1500,000000;0,000000;0;0
1550,000000;0,000000;0;0
