distance;prr;successes;opportunities
50,000000;0,986562;4405;4465
100,000000;0,968381;5574;5756
150,000000;0,944665;5241;5548
200,000000;0,905994;5638;6223
250,000000;0,891523;5679;6370
300,000000;0,804417;5281;6565
350,000000;0,888764;5529;6221
400,000000;0,797197;4493;5636
450,000000;0,681962;3448;5056
500,000000;0,767381;4117;5365
550,000000;0,658196;3445;5234
600,000000;0,579862;2937;5065
650,000000;0,343838;1462;4252
700,000000;0,203643;939;4611
750,000000;0,112276;653;5816
800,000000;0,045328;195;4302
850,000000;0,015222;85;5584
900,000000;0,003538;20;5653
950,000000;0,001324;6;4532
1000,000000;0,000000;0;3917
1050,000000;0,000000;0;2
1100,000000;0,000000;0;0
1150,000000;0,000000;0;0
1200,000000;0,000000;0;0
1250,000000;0,000000;0;0
1300,000000;0,000000;0;0
1350,000000;0,000000;0;0
1400,000000;0,000000;0;0
1450,000000;0,000000;0;0
1500,000000;0,000000;0;0
1550,000000;0,000000;0;0
