distance;prr;successes;opportunities
50,000000;0,983173;184872;188036
100,000000;0,953843;179251;187925
150,000000;0,923538;167478;181344
200,000000;0,888670;166296;187129
250,000000;0,853094;170147;199447
300,000000;0,794697;143125;180100
350,000000;0,759899;136873;180120
400,000000;0,725521;131566;181340
450,000000;0,677749;123574;182330
500,000000;0,603819;109717;181705
550,000000;0,525032;93366;177829
600,000000;0,428143;75819;177088
650,000000;0,311587;55804;179096
700,000000;0,191461;34638;180914
750,000000;0,096107;16878;175616
800,000000;0,041256;7488;181501
850,000000;0,014709;2615;177787
900,000000;0,005021;878;174871
950,000000;0,001551;278;179211
1000,000000;0,000387;70;180934
1050,000000;0,000000;0;187
1100,000000;0,000000;0;0
1150,000000;0,000000;0;0
1200,000000;0,000000;0;0
1250,000000;0,000000;0;0
1300,000000;0,000000;0;0
1350,000000;0,000000;0;0
1400,000000;0,000000;0;0
1450,000000;0,000000;0;0
1500,000000;0,000000;0;0
1550,000000;0,000000;0;0
