distance;prr;successes;opportunities
50,000000;0,983502;5246;5334
100,000000;0,942580;5450;5782
150,000000;0,928547;5367;5780
200,000000;0,912873;7460;8172
250,000000;0,848018;5005;5902
300,000000;0,824742;5200;6305
350,000000;0,823417;7778;9446
400,000000;0,776501;8241;10613
450,000000;0,748531;6242;8339
500,000000;0,711666;5356;7526
550,000000;0,602712;4445;7375
600,000000;0,531994;4423;8314
650,000000;0,415938;3852;9261
700,000000;0,264354;2210;8360
750,000000;0,149157;1512;10137
800,000000;0,051409;354;6886
850,000000;0,023749;177;7453
900,000000;0,007853;61;7768
950,000000;0,002482;20;8059
1000,000000;0,001117;10;8950
1050,000000;0,000000;0;9
1100,000000;0,000000;0;0
1150,000000;0,000000;0;0
1200,000000;0,000000;0;0
1250,000000;0,000000;0;0
1300,000000;0,000000;0;0
1350,000000;0,000000;0;0
1400,000000;0,000000;0;0
1450,000000;0,000000;0;0
1500,000000;0,000000;0;0
1550,000000;0,000000;0;0
