distance;prr;successes;opportunities
50,000000;0,988681;20352;20585
100,000000;0,956761;21773;22757
150,000000;0,931547;19991;21460
200,000000;0,900886;18806;20875
250,000000;0,861472;19216;22306
300,000000;0,846712;21570;25475
350,000000;0,799898;18872;23593
400,000000;0,794242;17050;21467
450,000000;0,750392;17707;23597
500,000000;0,497760;10665;21426
550,000000;0,389999;8587;22018
600,000000;0,247802;5665;22861
650,000000;0,169552;3957;23338
700,000000;0,095729;2082;21749
750,000000;0,039772;963;24213
800,000000;0,018484;434;23480
850,000000;0,005531;129;23321
900,000000;0,001919;39;20328
950,000000;0,000566;13;22970
1000,000000;0,000147;3;20387
1050,000000;0,000000;0;23
1100,000000;0,000000;0;0
1150,000000;0,000000;0;0
1200,000000;0,000000;0;0
1250,000000;0,000000;0;0
1300,000000;0,000000;0;0
1350,000000;0,000000;0;0
1400,000000;0,000000;0;0
1450,000000;0,000000;0;0
1500,000000;0,000000;0;0
1550,000000;0,000000;0;0
