distance;prr;successes;opportunities
50,000000;0,991166;12790;12904
100,000000;0,966570;11681;12085
150,000000;0,941389;12255;13018
200,000000;0,927618;15853;17090
250,000000;0,784629;12139;15471
300,000000;0,496989;7014;14113
350,000000;0,214519;2958;13789
400,000000;0,063562;898;14128
450,000000;0,016702;274;16405
500,000000;0,013199;163;12349
550,000000;0,001633;20;12249
600,000000;0,000000;0;14587
650,000000;0,000000;0;16309
700,000000;0,000000;0;17860
750,000000;0,000000;0;14004
800,000000;0,000000;0;15396
850,000000;0,000000;0;12954
900,000000;0,000000;0;11719
950,000000;0,000000;0;11758
1000,000000;0,000000;0;15107
1050,000000;0,000000;0;10
1100,000000;0,000000;0;0
1150,000000;0,000000;0;0
1200,000000;0,000000;0;0
1250,000000;0,000000;0;0
1300,000000;0,000000;0;0
1350,000000;0,000000;0;0
1400,000000;0,000000;0;0
1450,000000;0,000000;0;0
1500,000000;0,000000;0;0
1550,000000;0,000000;0;0
