distance;prr;successes;opportunities
50,000000;0,979032;51548;52652
100,000000;0,954787;53639;56179
150,000000;0,927598;56039;60413
200,000000;0,902347;55054;61012
250,000000;0,867426;52180;60155
300,000000;0,835515;52030;62273
350,000000;0,808669;47967;59316
400,000000;0,752237;46662;62031
450,000000;0,725060;41588;57358
500,000000;0,507655;29379;57872
550,000000;0,378779;22554;59544
600,000000;0,255953;15101;58999
650,000000;0,152799;8914;58338
700,000000;0,077138;4538;58830
750,000000;0,037049;2201;59408
800,000000;0,016652;936;56209
850,000000;0,005248;304;57930
900,000000;0,001896;107;56445
950,000000;0,000625;36;57610
1000,000000;0,000155;9;58003
1050,000000;0,000000;0;45
1100,000000;0,000000;0;0
1150,000000;0,000000;0;0
1200,000000;0,000000;0;0
1250,000000;0,000000;0;0
1300,000000;0,000000;0;0
1350,000000;0,000000;0;0
1400,000000;0,000000;0;0
1450,000000;0,000000;0;0
1500,000000;0,000000;0;0
1550,000000;0,000000;0;0
