distance;prr;successes;opportunities
50,000000;1,000000;484;484
100,000000;0,945493;451;477
150,000000;0,923414;422;457
200,000000;0,931915;438;470
250,000000;0,928870;444;478
300,000000;0,911205;431;473
350,000000;0,877895;417;475
400,000000;0,787686;371;471
450,000000;0,745263;354;475
500,000000;0,424658;248;584
550,000000;0,315359;193;612
600,000000;0,227197;137;603
650,000000;0,168558;104;617
700,000000;0,104265;66;633
750,000000;0,046196;34;736
800,000000;0,018486;21;1136
850,000000;0,007092;8;1128
900,000000;0,000902;1;1109
950,000000;0,000000;0;1300
1000,000000;0,000000;0;1445
1050,000000;0,000000;0;0
1100,000000;0,000000;0;0
1150,000000;0,000000;0;0
1200,000000;0,000000;0;0
1250,000000;0,000000;0;0
1300,000000;0,000000;0;0
1350,000000;0,000000;0;0
1400,000000;0,000000;0;0
1450,000000;0,000000;0;0
1500,000000;0,000000;0;0
1550,000000;0,000000;0;0
