distance;prr;successes;opportunities
50,000000;0,987251;88281;89421
100,000000;0,962805;89409;92863
150,000000;0,935740;81954;87582
200,000000;0,909298;82918;91189
250,000000;0,871591;78879;90500
300,000000;0,837800;74250;88625
350,000000;0,805971;73673;91409
400,000000;0,769133;72470;94223
450,000000;0,749277;70994;94750
500,000000;0,656183;62130;94684
550,000000;0,555485;49637;89358
600,000000;0,416290;37536;90168
650,000000;0,273158;25213;92302
700,000000;0,145286;13801;94992
750,000000;0,065114;6505;99901
800,000000;0,025521;2540;99524
850,000000;0,008712;877;100661
900,000000;0,002657;228;85810
950,000000;0,000774;65;83954
1000,000000;0,000146;13;89314
1050,000000;0,000000;0;77
1100,000000;0,000000;0;0
1150,000000;0,000000;0;0
1200,000000;0,000000;0;0
1250,000000;0,000000;0;0
1300,000000;0,000000;0;0
1350,000000;0,000000;0;0
1400,000000;0,000000;0;0
1450,000000;0,000000;0;0
1500,000000;0,000000;0;0
1550,000000;0,000000;0;0
