distance;prr;successes;opportunities
50,000000;0,985871;88896;90170
100,000000;0,955470;94452;98854
150,000000;0,931196;87457;93919
200,000000;0,905970;84575;93353
250,000000;0,871932;81081;92990
300,000000;0,820169;74108;90357
350,000000;0,776829;65416;84209
400,000000;0,730863;65633;89802
450,000000;0,683912;64960;94983
500,000000;0,603459;55584;92109
550,000000;0,522152;45022;86224
600,000000;0,413614;35515;85865
650,000000;0,294449;26723;90756
700,000000;0,179460;15928;88755
750,000000;0,092295;7824;84772
800,000000;0,038505;3464;89963
850,000000;0,014899;1381;92689
900,000000;0,003962;382;96423
950,000000;0,001574;164;104185
1000,000000;0,000360;36;99898
1050,000000;0,000000;0;95
1100,000000;0,000000;0;0
1150,000000;0,000000;0;0
1200,000000;0,000000;0;0
1250,000000;0,000000;0;0
1300,000000;0,000000;0;0
1350,000000;0,000000;0;0
1400,000000;0,000000;0;0
1450,000000;0,000000;0;0
1500,000000;0,000000;0;0
1550,000000;0,000000;0;0
