distance;prr;successes;opportunities
50,000000;0,982198;121053;123247
100,000000;0,955672;123901;129648
150,000000;0,926629;116279;125486
200,000000;0,887002;118483;133577
250,000000;0,849481;108861;128150
300,000000;0,773994;101901;131656
350,000000;0,682437;91927;134704
400,000000;0,522185;69743;133560
450,000000;0,387131;50936;131573
500,000000;0,196438;25934;132021
550,000000;0,091884;12354;134452
600,000000;0,035062;4786;136502
650,000000;0,010315;1369;132723
700,000000;0,002331;316;135566
750,000000;0,000429;60;139870
800,000000;0,000109;15;137134
850,000000;0,000000;0;129882
900,000000;0,000007;1;135708
950,000000;0,000000;0;138258
1000,000000;0,000000;0;138505
1050,000000;0,000000;0;140
1100,000000;0,000000;0;0
1150,000000;0,000000;0;0
1200,000000;0,000000;0;0
1250,000000;0,000000;0;0
1300,000000;0,000000;0;0
1350,000000;0,000000;0;0
1400,000000;0,000000;0;0
1450,000000;0,000000;0;0
1500,000000;0,000000;0;0
1550,000000;0,000000;0;0
